index,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
4815,Mahindra Bolero,Mahindra,Bolero,4,70000,Individual,Diesel,Manual,16.5,1493,1,7,700000
14056,Maruti Wagon R,Maruti,Wagon R,12,70962,Dealer,Petrol,Manual,18.9,998,1,5,145000
12241,Maruti Wagon R,Maruti,Wagon R,6,79855,Dealer,Petrol,Manual,20.51,998,1,5,347000
14617,Honda City,Honda,City,4,55000,Dealer,Petrol,Manual,17.0,1497,2,5,745000
936,Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Petrol,Automatic,18.69,1462,2,7,900000
15858,Maruti Baleno,Maruti,Baleno,4,70000,Individual,Petrol,Manual,21.4,1197,2,5,620000
5094,Maruti Swift Dzire,Maruti,Swift Dzire,6,68000,Dealer,Diesel,Manual,23.4,1248,1,5,495000
17324,Volkswagen Polo,Volkswagen,Polo,6,43000,Dealer,Petrol,Manual,17.24,1198,1,5,600000
18764,Honda Amaze,Honda,Amaze,8,28802,Dealer,Petrol,Automatic,15.5,1198,2,5,450000
13858,Toyota Fortuner,Toyota,Fortuner,2,32000,Dealer,Diesel,Automatic,12.9,2755,3,7,3300000
14024,Tata Nexon,Tata,Nexon,3,27700,Dealer,Petrol,Automatic,17.0,1198,2,5,890000
3284,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,13,57000,Dealer,Petrol,Manual,11.7,1796,3,5,425000
12595,Maruti Ciaz,Maruti,Ciaz,4,47000,Dealer,Diesel,Manual,28.09,1248,2,5,700000
14992,Hyundai Verna,Hyundai,Verna,2,27000,Individual,Petrol,Manual,19.1,1368,2,5,950000
2138,Hyundai i10,Hyundai,i10,12,84255,Dealer,Petrol,Manual,19.81,1086,1,5,215000
12695,Maruti Wagon R,Maruti,Wagon R,6,56931,Dealer,Petrol,Manual,20.51,998,1,5,320000
12280,Volkswagen Vento,Volkswagen,Vento,6,51000,Dealer,Diesel,Automatic,22.15,1498,2,5,585000
4007,Hyundai Creta,Hyundai,Creta,6,73000,Dealer,Petrol,Manual,15.29,1591,3,5,790000
8536,Maruti Alto,Maruti,Alto,10,100000,Individual,Petrol,Manual,20.92,998,1,5,215000
4122,Toyota Camry,Toyota,Camry,6,73000,Dealer,Petrol,Automatic,12.98,2494,3,5,1550000
16231,Ford Figo,Ford,Figo,5,30000,Individual,Petrol,Manual,18.16,1196,2,5,550000
14188,Porsche Cayenne,Porsche,Cayenne,8,85000,Dealer,Diesel,Automatic,15.15,2967,4,5,2900000
15832,Hyundai i20,Hyundai,i20,4,64000,Individual,Diesel,Manual,22.54,1396,2,5,610000
12581,Hyundai Verna,Hyundai,Verna,7,89000,Dealer,Diesel,Manual,22.32,1582,3,5,650000
5113,Maruti Swift,Maruti,Swift,8,50000,Individual,Diesel,Manual,22.9,1248,1,5,420000
17514,Maruti Alto,Maruti,Alto,6,49000,Dealer,Petrol,Manual,22.74,796,1,5,270000
4960,Hyundai Grand,Hyundai,Grand,7,43000,Dealer,Petrol,Manual,18.9,1197,2,5,380000
3755,Maruti Swift,Maruti,Swift,3,25000,Individual,Petrol,Manual,22.0,1197,2,5,550000
18735,Maruti Ciaz,Maruti,Ciaz,3,21052,Trustmark Dealer,Petrol,Automatic,19.12,1373,2,5,885000
16863,Toyota Innova,Toyota,Innova,8,77000,Dealer,Diesel,Manual,12.8,2494,2,7,645000
1481,Mahindra Thar,Mahindra,Thar,8,49000,Dealer,Diesel,Manual,16.55,2498,2,6,475000
6733,Hyundai i20,Hyundai,i20,3,32000,Dealer,Diesel,Manual,21.19,1396,2,5,860000
9668,Maruti Alto,Maruti,Alto,6,60000,Individual,Petrol,Manual,23.95,998,1,5,240000
5969,Hyundai i10,Hyundai,i10,9,36000,Individual,Petrol,Manual,19.81,1086,1,5,215000
814,Lexus ES,Lexus,ES,4,34000,Dealer,Petrol,Automatic,22.37,2487,4,5,4100000
